crop_name,state_code,harvest_year,model,predicted_pct,actual_pct,trend_kg_ha,yield_kg_ha,role
SOJA,GO,2007,ridge_by_state,-8.82351,-2.507129,2861.747714,2790.0,model
SOJA,MG,2007,ridge_by_state,-4.07345,3.957066,2654.94219,2760.0,model
SOJA,MS,2007,ridge_by_state,5.633627,15.629632,2430.198857,2810.03,model
SOJA,MT,2007,ridge_by_state,-6.106221,-2.052656,3059.807333,2997.0,model
SOJA,PR,2007,ridge_by_state,-2.006154,7.733588,2780.00581,2995.0,model
SOJA,RS,2007,ridge_by_state,-14.018002,55.686771,1637.904095,2550.0,model
SOJA,BA,2008,baseline_trend,0.0,16.233738,2611.9955,3036.02,baseline
SOJA,GO,2008,baseline_trend,0.0,3.756096,2893.34325,3002.02,baseline
SOJA,MG,2008,baseline_trend,0.0,7.063514,2723.59825,2915.98,baseline
SOJA,MS,2008,baseline_trend,0.0,3.953144,2538.663,2639.02,baseline
SOJA,MT,2008,baseline_trend,0.0,1.919663,3085.76375,3145.0,baseline
SOJA,PR,2008,baseline_trend,0.0,4.671769,2857.504,2991.0,baseline
SOJA,RS,2008,baseline_trend,0.0,9.929609,1844.826,2028.01,baseline
SOJA,BA,2008,ridge_by_state,1.647029,16.233738,2611.9955,3036.02,model
SOJA,GO,2008,ridge_by_state,-1.898328,3.756096,2893.34325,3002.02,model
SOJA,MG,2008,ridge_by_state,-2.144677,7.063514,2723.59825,2915.98,model
SOJA,MS,2008,ridge_by_state,-1.35597,3.953144,2538.663,2639.02,model
SOJA,MT,2008,ridge_by_state,-1.08075,1.919663,3085.76375,3145.0,model
SOJA,PR,2008,ridge_by_state,-4.060951,4.671769,2857.504,2991.0,model
SOJA,RS,2008,ridge_by_state,-9.765571,9.929609,1844.826,2028.01,model
SOJA,BA,2009,baseline_trend,0.0,-7.860241,2769.683824,2551.98,baseline
SOJA,GO,2009,baseline_trend,0.0,-0.130577,2966.864044,2962.99,baseline
SOJA,MG,2009,baseline_trend,0.0,5.241249,2813.573603,2961.04,baseline
SOJA,MS,2009,baseline_trend,0.0,-5.733055,2584.161397,2436.01,baseline
SOJA,MT,2009,baseline_trend,0.0,-1.846336,3139.974485,3082.0,baseline
SOJA,PR,2009,baseline_trend,0.0,-19.894961,2917.406985,2336.99,baseline
SOJA,RS,2009,baseline_trend,0.0,9.701614,1886.945809,2070.01,baseline
SOJA,BA,2009,ridge_by_state,0.692117,-7.860241,2769.683824,2551.98,model
SOJA,GO,2009,ridge_by_state,-6.154431,-0.130577,2966.864044,2962.99,model
SOJA,MG,2009,ridge_by_state,-1.635006,5.241249,2813.573603,2961.04,model
SOJA,MS,2009,ridge_by_state,-22.530603,-5.733055,2584.161397,2436.01,model
SOJA,MT,2009,ridge_by_state,-3.372653,-1.846336,3139.974485,3082.0,model
SOJA,PR,2009,ridge_by_state,-6.414594,-19.894961,2917.406985,2336.99,model
SOJA,RS,2009,ridge_by_state,-15.634111,9.701614,1886.945809,2070.01,model
SOJA,BA,2010,baseline_trend,0.0,9.774676,2787.537255,3060.01,baseline
SOJA,GO,2010,baseline_trend,0.0,-4.511276,3016.083856,2880.02,baseline
SOJA,MG,2010,baseline_trend,0.0,-2.655261,2894.825163,2817.96,baseline
SOJA,MS,2010,baseline_trend,0.0,20.383677,2575.091634,3099.99,baseline
SOJA,MT,2010,baseline_trend,0.0,-4.845016,3168.525556,3015.01,baseline
SOJA,PR,2010,baseline_trend,0.0,11.330053,2819.535163,3138.99,baseline
SOJA,RS,2010,baseline_trend,0.0,33.143804,1930.236275,2569.99,baseline
SOJA,BA,2010,ridge_by_state,-7.786651,9.774676,2787.537255,3060.01,model
SOJA,GO,2010,ridge_by_state,-3.350935,-4.511276,3016.083856,2880.02,model
SOJA,MG,2010,ridge_by_state,-4.120869,-2.655261,2894.825163,2817.96,model
SOJA,MS,2010,ridge_by_state,3.325291,20.383677,2575.091634,3099.99,model
SOJA,MT,2010,ridge_by_state,-3.282891,-4.845016,3168.525556,3015.01,model
SOJA,PR,2010,ridge_by_state,1.13557,11.330053,2819.535163,3138.99,model
SOJA,RS,2010,ridge_by_state,2.661171,33.143804,1930.236275,2569.99,model
SOJA,BA,2011,baseline_trend,0.0,15.570646,2907.312632,3360.0,baseline
SOJA,GO,2011,baseline_trend,0.0,3.376463,3037.451579,3140.01,baseline
SOJA,MG,2011,baseline_trend,0.0,-2.890435,2929.711404,2845.03,baseline
SOJA,MS,2011,baseline_trend,0.0,8.502126,2706.850175,2936.99,baseline
SOJA,MT,2011,baseline_trend,0.0,0.421086,3176.623684,3190.0,baseline
SOJA,PR,2011,baseline_trend,0.0,15.554622,2907.715789,3360.0,baseline
SOJA,RS,2011,baseline_trend,0.0,37.390818,2070.742456,2845.01,baseline
SOJA,BA,2011,ridge_by_state,-1.778813,15.570646,2907.312632,3360.0,model
SOJA,GO,2011,ridge_by_state,0.951724,3.376463,3037.451579,3140.01,model
SOJA,MG,2011,ridge_by_state,0.527745,-2.890435,2929.711404,2845.03,model
SOJA,MS,2011,ridge_by_state,3.567654,8.502126,2706.850175,2936.99,model
SOJA,MT,2011,ridge_by_state,-0.277997,0.421086,3176.623684,3190.0,model
SOJA,PR,2011,ridge_by_state,2.538913,15.554622,2907.715789,3360.0,model
SOJA,RS,2011,ridge_by_state,4.374559,37.390818,2070.742456,2845.01,model
SOJA,BA,2012,baseline_trend,0.0,-6.675499,3064.565,2859.99,baseline
SOJA,GO,2012,baseline_trend,0.0,0.456637,3105.827632,3120.01,baseline
SOJA,MG,2012,baseline_trend,0.0,0.822923,2962.629842,2987.01,baseline
SOJA,MS,2012,baseline_trend,0.0,-8.35207,2782.419632,2550.03,baseline
SOJA,MT,2012,baseline_trend,0.0,-2.712909,3217.292211,3130.01,baseline
SOJA,PR,2012,baseline_trend,0.0,-18.885797,3024.143632,2453.01,baseline
SOJA,RS,2012,baseline_trend,0.0,-30.627832,2241.518526,1554.99,baseline
SOJA,BA,2012,ridge_by_state,-11.384751,-6.675499,3064.565,2859.99,model
SOJA,GO,2012,ridge_by_state,-2.152224,0.456637,3105.827632,3120.01,model
SOJA,MG,2012,ridge_by_state,-0.800901,0.822923,2962.629842,2987.01,model
SOJA,MS,2012,ridge_by_state,-23.740606,-8.35207,2782.419632,2550.03,model
SOJA,MT,2012,ridge_by_state,0.411977,-2.712909,3217.292211,3130.01,model
SOJA,PR,2012,ridge_by_state,-10.618192,-18.885797,3024.143632,2453.01,model
SOJA,RS,2012,ridge_by_state,-30.684815,-30.627832,2241.518526,1554.99,model
SOJA,BA,2013,baseline_trend,0.0,-32.231076,3098.78019,2100.01,baseline
SOJA,GO,2013,baseline_trend,0.0,-6.107573,3157.858524,2964.99,baseline
SOJA,MG,2013,baseline_trend,0.0,-0.196579,3015.918667,3009.99,baseline
SOJA,MS,2013,baseline_trend,0.0,3.934915,2770.984143,2880.02,baseline
SOJA,MT,2013,baseline_trend,0.0,-7.065819,3238.851381,3010.0,baseline
SOJA,PR,2013,baseline_trend,0.0,13.57701,2947.788476,3348.01,baseline
SOJA,RS,2013,baseline_trend,0.0,26.956819,2137.734714,2714.0,baseline
SOJA,BA,2013,ridge_by_state,-3.878982,-32.231076,3098.78019,2100.01,model
SOJA,GO,2013,ridge_by_state,-5.174395,-6.107573,3157.858524,2964.99,model
SOJA,MG,2013,ridge_by_state,-4.542281,-0.196579,3015.918667,3009.99,model
SOJA,MS,2013,ridge_by_state,-18.998961,3.934915,2770.984143,2880.02,model
SOJA,MT,2013,ridge_by_state,-0.191214,-7.065819,3238.851381,3010.0,model
SOJA,PR,2013,ridge_by_state,0.954722,13.57701,2947.788476,3348.01,model
SOJA,RS,2013,ridge_by_state,1.767644,26.956819,2137.734714,2714.0,model
SOJA,BA,2014,baseline_trend,0.0,-15.654483,2987.710649,2520.0,baseline
SOJA,GO,2014,baseline_trend,0.0,-8.584142,3172.305195,2899.99,baseline
SOJA,MG,2014,baseline_trend,0.0,-11.809258,3063.802338,2701.99,baseline
SOJA,MS,2014,baseline_trend,0.0,2.814275,2820.62,2900.0,baseline
SOJA,MT,2014,baseline_trend,0.0,-5.110634,3234.292857,3069.0,baseline
SOJA,PR,2014,baseline_trend,0.0,-3.138029,3045.570909,2950.0,baseline
SOJA,RS,2014,baseline_trend,0.0,15.236468,2260.577792,2605.01,baseline
SOJA,BA,2014,ridge_by_state,-5.46143,-15.654483,2987.710649,2520.0,model
SOJA,GO,2014,ridge_by_state,-4.054288,-8.584142,3172.305195,2899.99,model
SOJA,MG,2014,ridge_by_state,-6.691084,-11.809258,3063.802338,2701.99,model
SOJA,MS,2014,ridge_by_state,-6.975843,2.814275,2820.62,2900.0,model
SOJA,MT,2014,ridge_by_state,0.312619,-5.110634,3234.292857,3069.0,model
